ship,k,value
0,0,8751
0,1,5269
0,2,7329
1,0,7133
1,1,5462
1,2,10618
2,0,10162
2,1,6031
2,2,8021
3,0,8068
3,1,10205
3,2,6064
4,0,7094
4,1,10742
4,2,5308
5,0,9642
5,1,8217
5,2,9643
6,0,8165
6,1,5140
6,2,6181
7,0,8300
7,1,7641
7,2,8511
8,0,6530
8,1,8655
8,2,9610
9,0,5905
9,1,9289
9,2,8139
10,0,6801
10,1,6743
10,2,9769
11,0,8683
11,1,8701
11,2,10985
12,0,7250
12,1,7859
12,2,8387
13,0,9578
13,1,10236
13,2,9751
14,0,6324
14,1,6401
14,2,9430
15,0,8800
15,1,7250
15,2,8026
16,0,7519
16,1,7601
16,2,10610
17,0,10840
17,1,10054
17,2,10074
18,0,6703
18,1,6496
18,2,5694
19,0,7672
19,1,7470
19,2,7073
20,0,7197
20,1,5857
20,2,5090
21,0,9486
21,1,6359
21,2,8894
