ship,k,row,value
0,0,0,972
0,0,1,1142
0,0,2,1112
0,0,3,916
0,0,4,1117
0,0,5,1166
0,0,6,981
0,0,7,1179
0,0,8,1127
0,0,9,1063
0,0,10,1117
0,0,11,1140
0,0,12,1119
0,0,13,1053
0,0,14,1030
0,0,15,1073
0,0,16,1143
0,0,17,1053
0,0,18,1098
0,0,19,1039
0,1,0,1064
0,1,1,1025
0,1,2,1199
0,1,3,976
0,1,4,1093
0,1,5,924
0,1,6,1094
0,1,7,1014
0,1,8,980
0,1,9,1070
0,1,10,967
0,1,11,1122
0,1,12,921
0,1,13,1154
0,1,14,1180
0,1,15,1099
0,1,16,979
0,1,17,1192
0,1,18,1187
0,1,19,1048
0,2,0,1031
0,2,1,1084
0,2,2,969
0,2,3,973
0,2,4,977
0,2,5,1139
0,2,6,1018
0,2,7,1064
0,2,8,1075
0,2,9,902
0,2,10,952
0,2,11,950
0,2,12,1125
0,2,13,1156
0,2,14,1153
0,2,15,983
0,2,16,1047
0,2,17,972
0,2,18,1005
0,2,19,905
1,0,0,1015
1,0,1,1013
1,0,2,1002
1,0,3,987
1,0,4,1100
1,0,5,1149
1,0,6,917
1,0,7,957
1,0,8,1146
1,0,9,1084
1,0,10,1059
1,0,11,1087
1,0,12,1115
1,0,13,1032
1,0,14,1095
1,0,15,1014
1,0,16,1041
1,0,17,1031
1,0,18,1181
1,0,19,1191
1,1,0,1047
1,1,1,943
1,1,2,1020
1,1,3,1117
1,1,4,1177
1,1,5,961
1,1,6,1133
1,1,7,1132
1,1,8,1025
1,1,9,1082
1,1,10,912
1,1,11,1052
1,1,12,964
1,1,13,1023
1,1,14,1149
1,1,15,1122
1,1,16,1091
1,1,17,1174
1,1,18,1192
1,1,19,1168
1,2,0,1161
1,2,1,924
1,2,2,1063
1,2,3,1186
1,2,4,1192
1,2,5,998
1,2,6,1099
1,2,7,1046
1,2,8,976
1,2,9,1170
1,2,10,1066
1,2,11,1000
1,2,12,1009
1,2,13,946
1,2,14,1038
1,2,15,940
1,2,16,1085
1,2,17,1025
1,2,18,1037
1,2,19,1159
